BatterySteve 1.2.2 on 1000(01g, TA-082) CPU:[333/166] B:[72]
rt:00:41:59, batt:92, eq:1551 mAh /1800 mAh , bV:3.86V v, life:04:25  min, fps:20
rt:00:42:29, batt:91, eq:1548 mAh /1800 mAh , bV:3.85V v, life:04:23  min, fps:20
rt:00:42:59, batt:91, eq:1546 mAh /1800 mAh , bV:3.85V v, life:04:25  min, fps:20
rt:00:43:29, batt:91, eq:1543 mAh /1800 mAh , bV:3.85V v, life:04:21  min, fps:20
rt:00:43:59, batt:91, eq:1540 mAh /1800 mAh , bV:3.85V v, life:04:20  min, fps:20
rt:00:44:29, batt:91, eq:1537 mAh /1800 mAh , bV:3.85V v, life:04:19  min, fps:20
rt:00:44:59, batt:91, eq:1534 mAh /1800 mAh , bV:3.85V v, life:04:21  min, fps:20
rt:00:45:29, batt:90, eq:1531 mAh /1800 mAh , bV:3.85V v, life:04:22  min, fps:20
rt:00:46:00, batt:90, eq:1529 mAh /1800 mAh , bV:3.84V v, life:04:17  min, fps:20
rt:00:46:29, batt:90, eq:1526 mAh /1800 mAh , bV:3.84V v, life:04:19  min, fps:20
rt:00:47:00, batt:90, eq:1526 mAh /1800 mAh , bV:3.83V v, life:04:21  min, fps:20
rt:00:47:30, batt:90, eq:1523 mAh /1800 mAh , bV:3.84V v, life:04:18  min, fps:20
rt:00:47:59, batt:90, eq:1520 mAh /1800 mAh , bV:3.83V v, life:04:16  min, fps:20
rt:00:48:29, batt:89, eq:1517 mAh /1800 mAh , bV:3.83V v, life:04:12  min, fps:20
rt:00:48:59, batt:89, eq:1514 mAh /1800 mAh , bV:3.83V v, life:04:13  min, fps:20
rt:00:49:29, batt:89, eq:1512 mAh /1800 mAh , bV:3.83V v, life:04:12  min, fps:20
rt:00:49:59, batt:89, eq:1510 mAh /1800 mAh , bV:3.82V v, life:04:13  min, fps:20
rt:00:50:30, batt:89, eq:1507 mAh /1800 mAh , bV:3.82V v, life:04:11  min, fps:20
rt:00:51:00, batt:89, eq:1504 mAh /1800 mAh , bV:3.82V v, life:04:09  min, fps:20
rt:00:51:29, batt:89, eq:1501 mAh /1800 mAh , bV:3.82V v, life:04:09  min, fps:20
rt:00:51:59, batt:88, eq:1498 mAh /1800 mAh , bV:3.81V v, life:04:09  min, fps:20
rt:00:52:30, batt:88, eq:1495 mAh /1800 mAh , bV:3.81V v, life:04:13  min, fps:20
rt:00:53:00, batt:88, eq:1493 mAh /1800 mAh , bV:3.81V v, life:04:10  min, fps:20
rt:00:53:30, batt:88, eq:1490 mAh /1800 mAh , bV:3.81V v, life:04:09  min, fps:20
rt:00:53:59, batt:88, eq:1487 mAh /1800 mAh , bV:3.80V v, life:04:08  min, fps:20
rt:00:54:30, batt:88, eq:1484 mAh /1800 mAh , bV:3.80V v, life:04:08  min, fps:20
rt:00:55:00, batt:87, eq:1481 mAh /1800 mAh , bV:3.80V v, life:04:07  min, fps:20
rt:00:55:29, batt:87, eq:1478 mAh /1800 mAh , bV:3.80V v, life:04:07  min, fps:20
rt:00:55:59, batt:87, eq:1475 mAh /1800 mAh , bV:3.79V v, life:04:06  min, fps:20
rt:00:56:29, batt:87, eq:1472 mAh /1800 mAh , bV:3.79V v, life:04:04  min, fps:20
rt:00:56:59, batt:87, eq:1471 mAh /1800 mAh , bV:3.79V v, life:04:05  min, fps:20
rt:00:57:29, batt:87, eq:1468 mAh /1800 mAh , bV:3.78V v, life:04:04  min, fps:20
rt:00:57:59, batt:86, eq:1465 mAh /1800 mAh , bV:3.79V v, life:04:03  min, fps:20
rt:00:58:29, batt:86, eq:1462 mAh /1800 mAh , bV:3.78V v, life:04:03  min, fps:20
rt:00:58:59, batt:86, eq:1459 mAh /1800 mAh , bV:3.78V v, life:04:04  min, fps:20
rt:00:59:30, batt:86, eq:1456 mAh /1800 mAh , bV:3.78V v, life:04:02  min, fps:20
rt:00:59:59, batt:86, eq:1453 mAh /1800 mAh , bV:3.77V v, life:04:01  min, fps:20
rt:01:00:29, batt:86, eq:1450 mAh /1800 mAh , bV:3.77V v, life:04:01  min, fps:20
rt:01:00:59, batt:85, eq:1447 mAh /1800 mAh , bV:3.78V v, life:04:00  min, fps:20
rt:01:01:29, batt:85, eq:1445 mAh /1800 mAh , bV:3.78V v, life:04:00  min, fps:20
rt:01:02:00, batt:85, eq:1442 mAh /1800 mAh , bV:3.77V v, life:03:59  min, fps:20
rt:01:02:29, batt:85, eq:1439 mAh /1800 mAh , bV:3.77V v, life:03:57  min, fps:20
rt:01:02:59, batt:85, eq:1436 mAh /1800 mAh , bV:3.76V v, life:03:58  min, fps:20
rt:01:03:29, batt:84, eq:1433 mAh /1800 mAh , bV:3.76V v, life:03:57  min, fps:20
rt:01:03:59, batt:84, eq:1430 mAh /1800 mAh , bV:3.76V v, life:03:54  min, fps:20
rt:01:04:29, batt:84, eq:1428 mAh /1800 mAh , bV:3.76V v, life:03:55  min, fps:20
rt:01:04:59, batt:84, eq:1425 mAh /1800 mAh , bV:3.76V v, life:03:57  min, fps:20
rt:01:05:29, batt:84, eq:1422 mAh /1800 mAh , bV:3.76V v, life:03:54  min, fps:20
rt:01:05:59, batt:84, eq:1419 mAh /1800 mAh , bV:3.76V v, life:03:55  min, fps:20
rt:01:06:30, batt:84, eq:1417 mAh /1800 mAh , bV:3.75V v, life:03:51  min, fps:20
rt:01:06:59, batt:83, eq:1414 mAh /1800 mAh , bV:3.75V v, life:03:54  min, fps:20
rt:01:07:29, batt:83, eq:1411 mAh /1800 mAh , bV:3.75V v, life:03:52  min, fps:20
rt:01:07:59, batt:83, eq:1408 mAh /1800 mAh , bV:3.75V v, life:03:51  min, fps:20
rt:01:08:29, batt:83, eq:1405 mAh /1800 mAh , bV:3.75V v, life:03:54  min, fps:20
rt:01:08:59, batt:83, eq:1402 mAh /1800 mAh , bV:3.75V v, life:03:51  min, fps:20
rt:01:09:29, batt:83, eq:1400 mAh /1800 mAh , bV:3.75V v, life:03:48  min, fps:20
rt:01:09:59, batt:82, eq:1396 mAh /1800 mAh , bV:3.73V v, life:03:47  min, fps:20
rt:01:10:29, batt:82, eq:1393 mAh /1800 mAh , bV:3.74V v, life:03:47  min, fps:20
rt:01:10:59, batt:82, eq:1390 mAh /1800 mAh , bV:3.74V v, life:03:44  min, fps:20
rt:01:11:30, batt:82, eq:1388 mAh /1800 mAh , bV:3.73V v, life:03:44  min, fps:20
rt:01:11:59, batt:82, eq:1385 mAh /1800 mAh , bV:3.74V v, life:03:43  min, fps:20
rt:01:12:29, batt:81, eq:1382 mAh /1800 mAh , bV:3.73V v, life:03:44  min, fps:20
rt:01:12:59, batt:81, eq:1380 mAh /1800 mAh , bV:3.73V v, life:03:44  min, fps:20
rt:01:13:29, batt:81, eq:1377 mAh /1800 mAh , bV:3.73V v, life:03:43  min, fps:19
rt:01:13:59, batt:81, eq:1375 mAh /1800 mAh , bV:3.73V v, life:03:37  min, fps:20
rt:01:14:29, batt:81, eq:1371 mAh /1800 mAh , bV:3.73V v, life:03:41  min, fps:20
rt:01:14:59, batt:81, eq:1368 mAh /1800 mAh , bV:3.73V v, life:03:42  min, fps:20
rt:01:15:29, batt:80, eq:1365 mAh /1800 mAh , bV:3.72V v, life:03:41  min, fps:20
rt:01:15:59, batt:80, eq:1362 mAh /1800 mAh , bV:3.72V v, life:03:39  min, fps:20
rt:01:16:29, batt:80, eq:1359 mAh /1800 mAh , bV:3.72V v, life:03:40  min, fps:20
rt:01:17:00, batt:80, eq:1356 mAh /1800 mAh , bV:3.71V v, life:03:38  min, fps:20
rt:01:17:30, batt:80, eq:1353 mAh /1800 mAh , bV:3.71V v, life:03:38  min, fps:20
rt:01:18:00, batt:80, eq:1350 mAh /1800 mAh , bV:3.71V v, life:03:38  min, fps:20
rt:01:18:30, batt:79, eq:1348 mAh /1800 mAh , bV:3.71V v, life:03:36  min, fps:20
rt:01:18:59, batt:79, eq:1345 mAh /1800 mAh , bV:3.71V v, life:03:35  min, fps:20
rt:01:19:29, batt:79, eq:1342 mAh /1800 mAh , bV:3.71V v, life:03:36  min, fps:20
rt:01:19:59, batt:79, eq:1339 mAh /1800 mAh , bV:3.71V v, life:03:37  min, fps:20
rt:01:20:29, batt:79, eq:1336 mAh /1800 mAh , bV:3.71V v, life:03:33  min, fps:20
rt:01:20:59, batt:79, eq:1333 mAh /1800 mAh , bV:3.71V v, life:03:34  min, fps:20
rt:01:21:30, batt:78, eq:1331 mAh /1800 mAh , bV:3.70V v, life:03:36  min, fps:20
rt:01:22:00, batt:78, eq:1328 mAh /1800 mAh , bV:3.70V v, life:03:32  min, fps:20
rt:01:22:30, batt:78, eq:1325 mAh /1800 mAh , bV:3.70V v, life:03:32  min, fps:20
rt:01:23:00, batt:78, eq:1322 mAh /1800 mAh , bV:3.70V v, life:03:29  min, fps:20
rt:01:23:30, batt:78, eq:1319 mAh /1800 mAh , bV:3.70V v, life:03:31  min, fps:20
rt:01:23:59, batt:78, eq:1316 mAh /1800 mAh , bV:3.70V v, life:03:30  min, fps:20
rt:01:24:29, batt:77, eq:1313 mAh /1800 mAh , bV:3.70V v, life:03:31  min, fps:20
rt:01:24:59, batt:77, eq:1310 mAh /1800 mAh , bV:3.69V v, life:03:29  min, fps:20
rt:01:25:29, batt:77, eq:1308 mAh /1800 mAh , bV:3.69V v, life:03:30  min, fps:20
rt:01:25:59, batt:77, eq:1305 mAh /1800 mAh , bV:3.69V v, life:03:28  min, fps:20
rt:01:26:29, batt:77, eq:1302 mAh /1800 mAh , bV:3.69V v, life:03:29  min, fps:20
rt:01:26:59, batt:77, eq:1300 mAh /1800 mAh , bV:3.68V v, life:03:28  min, fps:20
rt:01:27:29, batt:76, eq:1296 mAh /1800 mAh , bV:3.68V v, life:03:26  min, fps:20
rt:01:27:59, batt:76, eq:1293 mAh /1800 mAh , bV:3.68V v, life:03:24  min, fps:20
rt:01:28:29, batt:76, eq:1290 mAh /1800 mAh , bV:3.68V v, life:03:25  min, fps:19
rt:01:29:00, batt:76, eq:1287 mAh /1800 mAh , bV:3.68V v, life:03:24  min, fps:19
rt:01:29:30, batt:76, eq:1284 mAh /1800 mAh , bV:3.67V v, life:03:27  min, fps:20
rt:01:30:00, batt:76, eq:1281 mAh /1800 mAh , bV:3.68V v, life:03:27  min, fps:20
rt:01:30:30, batt:75, eq:1278 mAh /1800 mAh , bV:3.68V v, life:03:25  min, fps:20
rt:01:31:00, batt:75, eq:1275 mAh /1800 mAh , bV:3.67V v, life:03:23  min, fps:20
rt:01:31:29, batt:75, eq:1272 mAh /1800 mAh , bV:3.67V v, life:03:23  min, fps:20
rt:01:31:59, batt:75, eq:1269 mAh /1800 mAh , bV:3.67V v, life:03:22  min, fps:20
rt:01:32:29, batt:75, eq:1267 mAh /1800 mAh , bV:3.67V v, life:03:22  min, fps:20
rt:01:32:59, batt:75, eq:1264 mAh /1800 mAh , bV:3.67V v, life:03:18  min, fps:20
rt:01:33:29, batt:74, eq:1261 mAh /1800 mAh , bV:3.66V v, life:03:19  min, fps:20
rt:01:33:59, batt:74, eq:1258 mAh /1800 mAh , bV:3.66V v, life:03:20  min, fps:20
rt:01:34:29, batt:74, eq:1255 mAh /1800 mAh , bV:3.66V v, life:03:18  min, fps:20
rt:01:34:59, batt:74, eq:1252 mAh /1800 mAh , bV:3.66V v, life:03:19  min, fps:20
rt:01:35:29, batt:74, eq:1250 mAh /1800 mAh , bV:3.66V v, life:03:17  min, fps:20
rt:01:35:59, batt:74, eq:1246 mAh /1800 mAh , bV:3.65V v, life:03:16  min, fps:20
rt:01:36:30, batt:73, eq:1243 mAh /1800 mAh , bV:3.66V v, life:03:11  min, fps:20
rt:01:37:00, batt:73, eq:1240 mAh /1800 mAh , bV:3.65V v, life:03:17  min, fps:20
rt:01:37:30, batt:73, eq:1237 mAh /1800 mAh , bV:3.65V v, life:03:14  min, fps:20
rt:01:38:00, batt:73, eq:1234 mAh /1800 mAh , bV:3.65V v, life:03:14  min, fps:20
rt:01:38:30, batt:73, eq:1234 mAh /1800 mAh , bV:3.65V v, life:03:14  min, fps:20
rt:01:38:59, batt:73, eq:1231 mAh /1800 mAh , bV:3.65V v, life:03:14  min, fps:20
rt:01:39:29, batt:72, eq:1228 mAh /1800 mAh , bV:3.65V v, life:03:11  min, fps:20
rt:01:39:59, batt:72, eq:1226 mAh /1800 mAh , bV:3.64V v, life:03:11  min, fps:20
rt:01:40:29, batt:72, eq:1223 mAh /1800 mAh , bV:3.64V v, life:03:11  min, fps:20
rt:01:40:59, batt:72, eq:1220 mAh /1800 mAh , bV:3.64V v, life:03:15  min, fps:20
rt:01:41:29, batt:72, eq:1217 mAh /1800 mAh , bV:3.65V v, life:03:10  min, fps:20
rt:01:41:59, batt:72, eq:1214 mAh /1800 mAh , bV:3.64V v, life:03:10  min, fps:20
rt:01:42:29, batt:71, eq:1211 mAh /1800 mAh , bV:3.64V v, life:03:10  min, fps:20
rt:01:42:59, batt:71, eq:1208 mAh /1800 mAh , bV:3.64V v, life:03:10  min, fps:20
rt:01:43:29, batt:71, eq:1205 mAh /1800 mAh , bV:3.64V v, life:03:08  min, fps:20
rt:01:44:00, batt:71, eq:1202 mAh /1800 mAh , bV:3.64V v, life:03:10  min, fps:20
rt:01:44:29, batt:71, eq:1200 mAh /1800 mAh , bV:3.63V v, life:03:09  min, fps:19
rt:01:44:59, batt:70, eq:1196 mAh /1800 mAh , bV:3.63V v, life:03:07  min, fps:20
rt:01:45:29, batt:70, eq:1193 mAh /1800 mAh , bV:3.63V v, life:03:06  min, fps:20
rt:01:45:59, batt:70, eq:1190 mAh /1800 mAh , bV:3.63V v, life:03:06  min, fps:20
rt:01:46:29, batt:70, eq:1187 mAh /1800 mAh , bV:3.63V v, life:03:07  min, fps:20
rt:01:46:59, batt:70, eq:1185 mAh /1800 mAh , bV:3.63V v, life:03:05  min, fps:20
rt:01:47:29, batt:70, eq:1182 mAh /1800 mAh , bV:3.63V v, life:03:05  min, fps:20
rt:01:47:59, batt:69, eq:1179 mAh /1800 mAh , bV:3.63V v, life:03:05  min, fps:20
rt:01:48:29, batt:69, eq:1176 mAh /1800 mAh , bV:3.62V v, life:03:02  min, fps:20
rt:01:48:59, batt:69, eq:1173 mAh /1800 mAh , bV:3.62V v, life:03:02  min, fps:20
rt:01:49:29, batt:69, eq:1170 mAh /1800 mAh , bV:3.62V v, life:03:04  min, fps:20
rt:01:49:59, batt:69, eq:1167 mAh /1800 mAh , bV:3.62V v, life:03:01  min, fps:20
rt:01:50:29, batt:69, eq:1164 mAh /1800 mAh , bV:3.62V v, life:03:00  min, fps:20
rt:01:50:59, batt:68, eq:1161 mAh /1800 mAh , bV:3.61V v, life:03:00  min, fps:20
rt:01:51:30, batt:68, eq:1158 mAh /1800 mAh , bV:3.62V v, life:03:01  min, fps:20
rt:01:52:00, batt:68, eq:1155 mAh /1800 mAh , bV:3.62V v, life:02:59  min, fps:20
rt:01:52:30, batt:68, eq:1151 mAh /1800 mAh , bV:3.62V v, life:03:01  min, fps:20
rt:01:53:00, batt:68, eq:1148 mAh /1800 mAh , bV:3.61V v, life:02:58  min, fps:20
rt:01:53:30, batt:67, eq:1145 mAh /1800 mAh , bV:3.61V v, life:02:58  min, fps:20
rt:01:53:59, batt:67, eq:1143 mAh /1800 mAh , bV:3.61V v, life:02:59  min, fps:20
rt:01:54:29, batt:67, eq:1140 mAh /1800 mAh , bV:3.61V v, life:02:55  min, fps:20
rt:01:54:59, batt:67, eq:1137 mAh /1800 mAh , bV:3.60V v, life:02:56  min, fps:20
rt:01:55:29, batt:67, eq:1134 mAh /1800 mAh , bV:3.60V v, life:02:54  min, fps:20
rt:01:55:59, batt:67, eq:1131 mAh /1800 mAh , bV:3.60V v, life:02:55  min, fps:20
rt:01:56:29, batt:66, eq:1128 mAh /1800 mAh , bV:3.60V v, life:02:52  min, fps:20
rt:01:56:59, batt:66, eq:1125 mAh /1800 mAh , bV:3.61V v, life:02:53  min, fps:20
rt:01:57:29, batt:66, eq:1122 mAh /1800 mAh , bV:3.60V v, life:02:51  min, fps:20
rt:01:57:59, batt:66, eq:1119 mAh /1800 mAh , bV:3.60V v, life:02:50  min, fps:20
rt:01:58:29, batt:66, eq:1116 mAh /1800 mAh , bV:3.60V v, life:02:48  min, fps:20
rt:01:59:00, batt:66, eq:1113 mAh /1800 mAh , bV:3.60V v, life:02:51  min, fps:20
rt:01:59:30, batt:65, eq:1110 mAh /1800 mAh , bV:3.60V v, life:02:52  min, fps:20
rt:02:00:00, batt:65, eq:1107 mAh /1800 mAh , bV:3.60V v, life:02:51  min, fps:19
rt:02:00:30, batt:65, eq:1104 mAh /1800 mAh , bV:3.59V v, life:02:49  min, fps:20
rt:02:01:00, batt:65, eq:1102 mAh /1800 mAh , bV:3.59V v, life:02:49  min, fps:20
rt:02:01:29, batt:65, eq:1100 mAh /1800 mAh , bV:3.60V v, life:02:48  min, fps:20
rt:02:01:59, batt:65, eq:1096 mAh /1800 mAh , bV:3.60V v, life:02:49  min, fps:20
rt:02:02:29, batt:64, eq:1092 mAh /1800 mAh , bV:3.59V v, life:02:49  min, fps:20
rt:02:02:59, batt:64, eq:1089 mAh /1800 mAh , bV:3.58V v, life:02:47  min, fps:20
rt:02:03:29, batt:64, eq:1086 mAh /1800 mAh , bV:3.59V v, life:02:47  min, fps:20
rt:02:03:59, batt:64, eq:1083 mAh /1800 mAh , bV:3.59V v, life:02:47  min, fps:20
rt:02:04:29, batt:64, eq:1080 mAh /1800 mAh , bV:3.59V v, life:02:47  min, fps:20
